,open,close,low,high,volume,money,high_limit,low_limit,avg,label
2007-03-08,2904.18,2928.01,2871.46,2928.8,8895512300.0,73782479702.0,3186.25,2606.93,2908.707,2937.91
2007-03-09,2934.49,2937.91,2891.81,2962.42,10713910500.0,89725963574.0,3220.82,2635.21,2929.248,2954.91
2007-03-12,2945.92,2954.91,2904.74,2958.63,10154244400.0,85496576407.0,3231.7,2644.12,2941.243,2964.79
2007-03-13,2958.1,2964.79,2932.23,2966.19,10718931600.0,88657286547.0,3250.41,2659.42,2950.318,2906.33
2007-03-14,2933.68,2906.33,2868.81,2934.45,11373073900.0,93829876741.0,3261.27,2668.31,2904.817,2951.7
2007-03-15,2905.98,2951.7,2905.98,2955.46,10174575400.0,86641125793.0,3196.97,2615.7,2941.1,2930.48
2007-03-16,2964.09,2930.48,2899.03,2979.71,12268130800.0,104617575819.0,3246.87,2656.53,2946.181,3014.44
2007-03-19,2864.26,3014.44,2852.86,3038.0,10997175200.0,94819910144.0,3223.53,2637.43,2972.64,3032.2
2007-03-20,3024.78,3032.2,2998.8,3033.02,9276189000.0,81627441312.0,3315.89,2713.0,3017.256,3057.38
2007-03-21,3042.1,3057.38,3020.95,3057.71,9919012700.0,89306939158.0,3335.41,2728.98,3045.316,3071.22
2007-03-22,3080.6,3071.22,3059.38,3099.82,12606554500.0,112647268972.0,3363.12,2751.64,3083.6,3074.29
2007-03-23,3071.81,3074.29,3008.15,3085.32,11868641700.0,104609177818.0,3378.35,2764.1,3056.451,3122.81
2007-03-26,3083.94,3122.81,3069.47,3123.18,12266053700.0,109828277554.0,3381.71,2766.86,3101.117,3138.83
2007-03-27,3126.03,3138.83,3103.78,3145.04,12457893100.0,114054540596.0,3435.09,2810.53,3126.286,3173.02
2007-03-28,3140.68,3173.02,3052.08,3180.33,16726793900.0,151116615364.0,3452.71,2824.94,3141.32,3197.54
2007-03-29,3179.8,3197.54,3176.53,3273.73,14953966100.0,140362614689.0,3490.32,2855.72,3217.338,3183.98
2007-03-30,3178.5,3183.98,3157.03,3212.39,8942400600.0,82999416766.0,3517.29,2877.78,3185.649,3252.59
2007-04-02,3196.59,3252.59,3196.59,3253.43,9735044600.0,93299356849.0,3502.38,2865.58,3232.054,3291.3
2007-04-03,3265.68,3291.3,3251.52,3292.58,10860139100.0,107136258685.0,3577.85,2927.34,3272.796,3291.54
2007-04-04,3295.98,3291.54,3266.56,3308.15,11261610700.0,113258217151.0,3620.43,2962.17,3291.295,3319.14
2007-04-05,3286.16,3319.14,3259.63,3326.92,11452805100.0,114495514909.0,3620.7,2962.39,3287.733,3323.59
2007-04-06,3287.68,3323.59,3273.86,3334.22,11964488100.0,121981473231.0,3651.05,2987.23,3317.711,3398.95
2007-04-09,3333.42,3398.95,3333.26,3399.51,13731410400.0,139936999354.0,3655.94,2991.23,3367.045,3444.29
2007-04-10,3405.23,3444.29,3351.11,3444.37,14780728400.0,152942402347.0,3738.85,3059.06,3407.595,3495.22
2007-04-11,3454.42,3495.22,3428.78,3497.52,14757211400.0,156207584309.0,3788.72,3099.86,3471.708,3531.03
2007-04-12,3503.23,3531.03,3488.08,3532.86,13538987900.0,148368251472.0,3844.75,3145.7,3512.702,3518.27
2007-04-13,3537.22,3518.27,3504.16,3563.86,15069587600.0,166487192106.0,3884.13,3177.93,3533.693,3596.44
2007-04-16,3523.22,3596.44,3523.22,3597.22,13103910100.0,145536446077.0,3870.09,3166.44,3563.663,3611.87
2007-04-17,3611.63,3611.87,3510.5,3622.89,16066064600.0,176113092884.0,3956.09,3236.8,3587.407,3612.4
2007-04-18,3614.68,3612.4,3564.23,3623.87,15048542400.0,167418751210.0,3973.06,3250.68,3598.732,3449.02
2007-04-19,3610.02,3449.02,3358.93,3617.44,17272554100.0,187759225246.0,3973.64,3251.16,3517.376,3584.2
2007-04-20,3460.9,3584.2,3460.9,3591.46,13888929200.0,156130185137.0,3793.92,3104.11,3547.082,3710.89
2007-04-23,3615.79,3710.89,3615.79,3710.89,16349811600.0,183165718566.0,3942.62,3225.78,3667.797,3720.53
2007-04-24,3736.15,3720.53,3689.13,3762.39,17438934100.0,203917793249.0,4081.97,3339.8,3724.598,3743.96
